idquest,cluster,target
11410304602.0,0,1
11410305201.0,0,1
11410400601.0,0,0
11410401401.0,0,1
11410402101.0,0,0
11410402801.0,0,1
11410403801.0,0,0
11410404101.0,0,0
11410405401.0,0,1
11410501401.0,0,1
11410502602.0,0,1
11410503901.0,0,1
11410601601.0,0,1
11410601603.0,0,1
11410602401.0,0,0
11410603001.0,0,1
11410604401.0,0,1
11410604603.0,0,0
11410605901.0,0,1
11410701801.0,0,1
11410704101.0,0,1
11410705301.0,0,1
11410800501.0,0,1
11410800701.0,0,1
11410801401.0,0,0
11410801501.0,0,0
11410802201.0,0,0
11410804101.0,0,0
11410804401.0,1,1
11410900202.0,0,1
11410902002.0,0,1
11411000301.0,0,0
11411001602.0,0,0
11411001701.0,0,0
11411001904.0,0,1
11411002505.0,0,1
11411003302.0,0,1
11411102601.0,0,1
11411200105.0,0,0
11411200401.0,0,0
11411200601.0,0,1
11411201302.0,0,1
11411201501.0,0,1
11411201503.0,0,1
11411201702.0,0,0
11411201801.0,0,0
11411201901.0,0,0
11411202001.0,0,0
11411300301.0,0,1
11411301601.0,0,0
11411301701.0,0,0
11411301802.0,0,0
11411302201.0,0,0
11411304801.0,0,0
11411400501.0,0,1
11411400602.0,0,1
11411401201.0,0,0
11411401301.0,0,1
11411401302.0,0,0
11411401702.0,0,1
11411402401.0,0,1
11411404001.0,0,0
11411404101.0,0,0
11411404602.0,0,1
11411404801.0,0,0
11411404901.0,0,1
11411405702.0,0,1
11411406305.0,0,1
11411406308.0,0,0
11411406401.0,0,1
11411407001.0,0,1
11411407201.0,0,0
11411407301.0,0,1
11411407601.0,0,0
11411500201.0,0,0
11411500703.0,0,1
11411502201.0,0,1
11411503001.0,0,1
11411601001.0,0,1
11411601002.0,0,0
11411601101.0,0,1
11411602404.0,0,1
11411700101.0,0,0
11411700701.0,0,1
11411700708.0,0,1
11411701502.0,0,1
11411702101.0,0,1
11411702102.0,0,1
11411702901.0,0,1
11411702902.0,0,1
11411703601.0,0,0
11411704501.0,0,0
11411705002.0,0,1
11411705101.0,0,0
11421800201.0,0,0
11421800501.0,0,0
11421800701.0,0,0
11421801001.0,0,0
11421801101.0,0,1
11421801201.0,0,1
11421801402.0,0,0
11421801501.0,0,0
11421801901.0,0,1
11421802001.0,0,1
11421802101.0,0,1
11421802301.0,0,0
11421802601.0,0,0
11421802801.0,0,0
11421900201.0,0,0
